country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_share,fsi_2025_value,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score
Croatia,HRV,,,,119.3637,112.3301275,101.912386926766,0.00223305872975867800,79.5891627445858300,,,,79,93,100,107.0000000000000000,,,,59.275,55.075,53.125,48.7555000000000000
Hungary,HUN,94.79689408,54.65056,37.31525,132.7332,151.5159647,155.985361320584,0.00455463297730629100,162.3331354620764800,57,72,84,74,75,76,69.0000000000000000,47.47,40.47,35.93,54.7,53.8,55.2,54.2965000000000000
Indonesia,IDN,,,,188.7874,143.8350776,170.240689326121,0.00755326779561955100,269.2084412414758000,,,,57,79,66,49.0000000000000000,,,,61.45,51.075,55.8,57.7315000000000040
Isle of Man,IMN,230.4174787,237.258,228.5974,248.6847,258.344155,189.533907585028,0.00472087037849818450,168.2580560212095000,37,34,32,42,43,61,67.0000000000000000,64.93,67.07,63.8,63.575,64.675,65,68.0855000000000000
India,IND,344.0421554,254.5711,148.0025,316.6198,238.6822839,318.366687317518,0.01138511624525854300,405.7805814215348000,25,32,45,32,47,36,24.0000000000000000,52.8,45.97,39.19,51.9,47.8375,54.725,56.1991551724137960
Ireland,IRL,264.2156913,155.5173,187.4491,387.941,363.7959507,357.174772650659,0.01683750659275637400,600.1109753923687000,32,47,37,26,29,27,14.0000000000000000,44,37.37,40.37,50.65,48.15,47.2,57.1015000000000000
Iceland,ISL,,,67.11217,139.6926,129.3088059,45.848661724847,0.00161200657135044180,57.4540434798224400,,,71,72,84,126,120.0000000000000000,,,45.6,59.9,57.375,42.45,44.4869655172413800
Israel,ISR,230.2969209,205.9219,173.7764,313.5544,291.4915508,335.856649395178,0.01131173447107611600,403.1651580607158000,38,38,40,34,38,32,25.0000000000000000,58.27,57.27,52.76,63.25,58.675,59.3,63.4671206896551750
Italy,ITA,231.1939797,118.9649,98.65669,254.1414,287.7961653,393.350377781294,0.01093509462570193200,389.7412164732856000,36,54,58,41,41,21,26.0000000000000000,48.67,39.33,35,49.475,50.375,54.85,54.3710000000000000
Jersey,JEY,750.1455758,591.7031,354.0404,438.2174,466.8129505,458.502664879157,0.01192961094258750500,425.1870916497552500,7,9,16,18,16,19,23.0000000000000000,78.47,75.4,64.93,65.45,65.525,63.45,63.8230000000000000
Jordan,JOR,,,,,260.3940199,170.42080332232,0.00639602400609452350,227.9627439956974800,,,,,42,65,56.0000000000000000,,,,,78.3,71.925,75.6860000000000000
Japan,JPN,693.6381377,513.1047,418.3741,623.9166,695.5945925,764.994509813845,0.01852448946500590700,660.2372732713800000,8,10,12,13,7,6,10.0000000000000000,64.2,60.83,57.52,60.5,62.85,63.125,62.8250000000000000
Kazakhstan,KAZ,,,,,82.30435033,146.852451402802,0.00882919379804858100,314.6841293208247500,,,,,108,78,36.0000000000000000,,,,,64.475,62.9,66.9452931034482800
Kenya,KEN,,,,378.3477,398.1913655,281.572610479911,0.00772045347609588000,275.1671597268749000,,,,27,24,41,45.0000000000000000,,,,80.05,75.9545,66.7,64.2250517241379300
St. Kitts and Nevis,KNA,31.16919967,18.45872,68.42789,152.5491,162.2543025,168.320986983207,0.00363730703946836460,129.6384273545550600,67,80,69,63,68,68,83.0000000000000000,81.4,79.57,78.03,76.65,75.175,77.225,78.0981724137931000
South Korea,KOR,317.1874912,328.7934,124.2812,314.0573,411.058924,498.628333783005,0.01882793920620808000,671.0526228703367000,28,24,49,33,21,16,8.0000000000000000,53.73,53.57,44.14,59.025,61.575,63.8,68.9585000000000000
Kuwait,KWT,,,,,369.1707737,334.388742381677,0.00759289450186535600,270.6207893944373000,,,,,28,35,47.0000000000000000,,,,,70.575,74.575,71.1940000000000000
Lebanon,LBN,397.3275649,747.8594,760.211,644.4132,385.5245651,149.046428743194,0.00458410797038664800,163.3836631485658000,22,7,7,11,26,77,68.0000000000000000,82.2,78.87,78.76,72.025,63.975,64.6,62.9559827586206900
Liberia,LBR,316.8840234,300.8851,218.2189,277.2883,77.58983749,286.164216330279,0.00176542944632331700,62.9222373979815050,29,27,33,38,111,40,116.0000000000000000,81,83.23,82.89,79.7,78.2405,73.25,70.3360000000000000
St. Lucia,LCA,78.7209814,66.89086,51.67438,21.52323,12.25216126,32.5936701981612,0.00144180388682687930,51.3877949850615540,60,65,79,110,132,133,121.0000000000000000,88.6,84.4,82.96,78.275,71.025,72.225,71.1207241379310300
Liechtenstein,LIE,239.214042,240.963,202.3737,240.8588,229.6776321,217.465241935676,0.00629169755341722200,224.2444114189289600,35,33,36,46,52,54,58.0000000000000000,81,79.27,76.04,78.275,74.975,72.175,74.0755000000000000
Sri Lanka,LKA,,,,,290.6386989,241.131858731254,0.00561360392677548900,200.0762588810475800,,,,,39,50,60.0000000000000000,,,,,72.175,75.75,76.4765000000000000
Lithuania,LTU,,,,58.74935,89.82748835,96.6036985329499,0.00519893719732707600,185.2969889160335400,,,,97,105,103,62.0000000000000000,,,,46.775,50.3,50.95,52.5400000000000000
Luxembourg,LUX,1621.157151,1454.483,816.9902,975.9181,849.3599776,803.665284815707,0.02291828547454737400,816.8379667550212000,3,2,6,6,6,5,5.0000000000000000,68.33,66.53,55.11,58.2,55.45,54.975,55.5400000000000000
