country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_share,fsi_2025_value,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score
Russia,RUS,,325.2539,243.261,361.1588,256.3531286,270.375936198414,0.01066413129169238200,380.0837253375140700,,25,30,29,44,43,28.0000000000000000,,60.47,53.56,63.975,57.05,59.6,69.6878103448275800
Rwanda,RWA,,,,,100.4708934,106.120936749837,0.00165930060303857380,59.1396652392112300,,,,,99,98,118.0000000000000000,,,,,63,72.125,56.4289999999999950
Saudi Arabia,SAU,,274.2,163.8641,278.5754,245.4746014,359.792528499902,0.01265048292581708600,450.8799213217593000,,31,43,37,45,25,22.0000000000000000,,74.9,61.08,69.875,66.675,68.95,70.7058103448275800
Singapore,SGP,1117.958613,1216.86,1147.122,1081.982,1022.119345,1166.69663609186,0.03444708096956204000,1227.7394664217718000,6,5,4,5,5,3,3.0000000000000000,70.8,70.33,68.96,67.125,64.975,67.25,67.8115000000000000
El Salvador,SLV,,,,,123.1214685,107.257203854057,0.00353793602081472200,126.0967129919531000,,,,,85,97,87.0000000000000000,,,,,64.1,60.5,64.5415000000000000
San Marino,SMR,30.86461955,59.53545,33.271,24.31495,20.81989966,11.8536802936954,0.00110301819064063490,39.3130252757047740,68,68,86,109,129,140,130.0000000000000000,78.73,80.13,69.56,64,60.45,60.35,61.1615000000000040
Slovakia,SVK,,,60.13406,127.8874,91.29390449,101.824742051979,0.00234577827163678800,83.6066361067851200,,,73,76,104,101,102.0000000000000000,,,50.11,54.9,50.925,53.175,47.4274999999999950
Serbia,SRB,,,,,,84.2038470127201,0.00408094692740598300,145.4503389583635000,,,,,,110,79.0000000000000000,,,,,,54.375,65.5055000000000000
Slovenia,SVN,,,22.46907,35.32386,27.48119603,24.6160338441203,0.00039259354283002320,13.9925524377717370,,,88,104,128,137,137.0000000000000000,,,33.96,41.825,37.55,35.875,29.1420000000000030
Sweden,SWE,,55.71366,100.8714,203.5453,182.8646578,168.468151384464,0.00484058140169404800,172.5247150125232200,,71,56,54,64,67,66.0000000000000000,,32.4,36.02,45.475,45.65,44.625,44.3855000000000000
Seychelles,SYC,95.01644304,293.483,60.84057,125.2617,108.5323325,117.530984659967,0.00353879779713619200,126.1274278383585400,56,28,72,77,95,89,86.0000000000000000,87.93,85.23,71.17,75.2,70.4375,72.175,71.9180344827586100
Turks and Caicos Islands,TCA,218.8583265,81.81755,72.46152,98.07825,114.3223679,59.3287955131851,0.00209217845178507700,74.5680035508215300,39,63,68,87,92,120,112.0000000000000000,90.4,78.27,71.27,76.775,77.825,75.65,76.9936034482758600
Thailand,THA,,,,550.5987,448.8582185,379.867003359114,0.00860164444842769100,306.5739699335887000,,,,15,17,23,38.0000000000000000,,,,79.875,73.25,69.825,65.5594137931034600
Trinidad and Tobago,TTO,,,,27.86072,29.63358834,39.1345848269848,0.00043602202839078500,15.5404010272353460,,,,107,127,130,136.0000000000000000,,,,65.25,64.6535,68.95,61.5015000000000000
